Date,Open,High,Low,Close,Adj Close,Volume
2019-06-11,77.169998,78.550003,77.000000,78.139999,74.696114,4607100
2019-06-12,77.739998,78.410004,77.000000,77.209999,73.807098,3147000
2019-06-13,77.279999,77.779999,77.070000,77.589996,74.170341,3555700
2019-06-14,77.800003,78.370003,77.040001,77.199997,73.797539,5521300
2019-06-17,77.010002,78.629997,76.919998,77.989998,74.552711,4917100
2019-06-18,78.260002,78.360001,76.239998,77.110001,73.711510,5186100
2019-06-19,77.580002,77.599998,76.080002,76.650002,73.271774,5512300
2019-06-20,76.129997,77.419998,75.580002,77.180000,74.892281,7404800
2019-06-21,77.250000,79.220001,76.379997,79.220001,76.871811,17187700
2019-06-24,78.599998,79.360001,77.699997,77.830002,75.523010,6912100
2019-06-25,78.000000,79.050003,77.419998,78.820000,76.483673,5568500
2019-06-26,78.900002,78.900002,77.199997,77.379997,75.086349,6268500
2019-06-27,77.500000,78.260002,77.279999,77.919998,75.610336,3951500
2019-06-28,78.220001,78.570000,77.650002,78.529999,76.202263,8436200
2019-07-01,78.800003,78.949997,77.830002,77.980003,75.668571,4227600
2019-07-02,78.360001,79.820000,77.959999,79.750000,77.386101,4015200
2019-07-03,79.980003,80.660004,79.430000,80.629997,78.240013,3860900
2019-07-05,80.349998,80.419998,78.459999,80.120003,77.745140,3425200
2019-07-08,80.250000,80.870003,79.519997,79.610001,77.250252,3203300
2019-07-09,79.639999,80.209999,78.940002,79.440002,77.085289,3579300
2019-07-10,79.360001,80.379997,79.269997,80.279999,77.900391,4297100
2019-07-11,80.430000,81.779999,80.110001,81.260002,78.851349,4381000
2019-07-12,81.550003,82.110001,81.430000,81.889999,79.462669,4257100
2019-07-15,82.000000,82.190002,81.080002,81.470001,79.055115,5325300
2019-07-16,81.269997,81.680000,80.949997,81.580002,79.161858,3071400
2019-07-17,81.500000,81.940002,80.849998,81.050003,78.647568,2929600
2019-07-18,84.699997,89.449997,84.500000,87.709999,85.110161,13397800
2019-07-19,88.360001,89.980003,87.860001,88.730003,86.099922,7561700
2019-07-22,88.970001,89.050003,86.879997,86.949997,84.372681,5366100
2019-07-23,87.480003,87.589996,86.169998,86.750000,84.178612,4758400
2019-07-24,86.419998,86.629997,84.750000,85.019997,82.499886,4316500
2019-07-25,85.269997,86.290001,84.750000,85.629997,83.091805,3715600
2019-07-26,85.839996,86.480003,85.230003,85.980003,83.431435,3348300
2019-07-29,86.290001,87.029999,85.839996,86.760002,84.188316,4461400
2019-07-30,86.019997,86.570000,85.169998,86.300003,83.741951,3952800
2019-07-31,85.940002,86.400002,82.180000,83.610001,81.131683,6793000
2019-08-01,84.300003,85.209999,82.410004,82.449997,80.006065,6385200
2019-08-02,82.699997,84.550003,81.879997,84.169998,81.675079,6109100
2019-08-05,83.570000,83.820000,79.489998,80.260002,77.880981,6849300
2019-08-06,81.120003,81.650002,80.559998,81.320000,78.909561,6313100
2019-08-07,80.360001,81.660004,79.349998,81.360001,78.948380,6434700
2019-08-08,81.430000,82.720001,81.309998,82.480003,80.035179,3266600
2019-08-09,82.430000,82.989998,81.790001,82.589996,80.141914,3068500
2019-08-12,82.449997,83.040001,81.720001,82.379997,79.938141,2172500
2019-08-13,81.639999,84.099998,81.639999,83.949997,81.461601,4476900
2019-08-14,83.510002,83.769997,83.019997,83.330002,80.859985,6642500
2019-08-15,83.930000,84.690002,83.110001,84.489998,81.985596,3980200
2019-08-16,84.730003,85.510002,84.660004,84.910004,82.393150,3302500
2019-08-19,85.650002,86.050003,84.779999,85.010002,82.490189,3108100
2019-08-20,84.910004,84.980003,82.290001,83.000000,80.539764,3656000
2019-08-21,83.419998,83.599998,82.080002,83.050003,80.588287,3311100
2019-08-22,82.550003,83.860001,82.419998,82.949997,80.491241,3681200
2019-08-23,82.790001,83.349998,80.660004,81.220001,78.812531,4263800
2019-08-26,81.000000,81.570000,76.410004,77.730003,75.425980,11518000
2019-08-27,75.099998,75.400002,69.269997,71.699997,69.574715,41583100
2019-08-28,71.919998,75.669998,71.900002,74.320000,72.117050,18953200
2019-08-29,75.279999,75.650002,71.610001,72.720001,70.564476,13238200
2019-08-30,72.830002,73.220001,71.750000,72.089996,69.953148,9045000
2019-09-03,72.000000,72.790001,71.110001,72.660004,70.506264,4466900
2019-09-04,72.690002,73.250000,71.519997,73.019997,70.855583,5386700
2019-09-05,73.400002,73.419998,71.879997,71.949997,69.817299,6613400
2019-09-06,72.260002,73.419998,71.980003,72.970001,70.807076,6130000
2019-09-09,73.000000,73.389999,72.419998,73.300003,71.127289,5528100
2019-09-10,72.699997,74.559998,72.500000,74.500000,72.291718,7401900
2019-09-11,74.540001,75.480003,74.120003,75.070000,72.844826,8443100
2019-09-12,75.209999,75.400002,74.050003,74.900002,72.679863,6242900
2019-09-13,74.309998,74.779999,73.000000,73.050003,70.884697,10572800
2019-09-16,72.180000,72.720001,71.769997,72.599998,70.448036,10547300
2019-09-17,73.449997,73.459999,71.870003,72.019997,69.885223,7752700
2019-09-18,71.870003,72.330002,71.059998,71.559998,69.438866,7359600
2019-09-19,71.500000,72.199997,71.099998,71.709999,69.584412,8374200
2019-09-20,71.209999,72.830002,71.000000,71.199997,69.089531,15987500
2019-09-23,71.000000,72.769997,70.570000,72.000000,69.865822,6967500
2019-09-24,71.160004,71.879997,70.900002,71.559998,70.585884,8846900
2019-09-25,76.930000,77.879997,75.080002,75.279999,74.255241,20435300
2019-09-26,74.910004,75.820000,74.290001,75.290001,74.265114,5954400
2019-09-27,75.160004,75.650002,74.650002,75.129997,74.107285,4142900
2019-09-30,75.160004,76.180000,75.029999,75.930000,74.896400,4908900
2019-10-01,76.209999,77.989998,76.059998,77.830002,76.770538,7555000
2019-10-02,77.830002,78.099998,76.190002,76.720001,75.675644,7000600
2019-10-03,76.300003,77.250000,75.809998,76.769997,75.724960,3550900
2019-10-04,76.430000,78.370003,76.320000,78.279999,77.214409,4381300
2019-10-07,78.099998,78.370003,77.169998,77.169998,76.119514,5370900
